09-23-2026 15:34:55 RAM 3346/30697MB (lfb 433x4MB) SWAP 414/15348MB (cached 0MB) CPU [12%@2201,22%@2201,11%@2201,8%@2201,10%@2201,10%@2201,10%@2201,9%@2201,11%@2201,9%@2201,48%@2201,8%@2201] GR3D_FREQ 0% cpu@55.406C soc2@50.5C soc0@51.937C gpu@50.218C tj@55.406C soc1@52.125C VDD_GPU_SOC 4931mW/4931mW VDD_CPU_CV 4169mW/4169mW VIN_SYS_5V0 4923mW/4923mW
09-23-2026 15:45:42 RAM 13033/30697MB (lfb 296x4MB) SWAP 414/15348MB (cached 0MB) CPU [60%@2201,15%@2201,0%@2201,2%@2201,1%@2201,9%@2201,1%@2201,6%@2201,1%@2201,1%@2201,1%@2201,1%@2201] GR3D_FREQ 87% cpu@70.281C soc2@65.75C soc0@66.5C gpu@69.343C tj@70.281C soc1@65.687C VDD_GPU_SOC 29328mW/32289mW VDD_CPU_CV 2632mW/2268mW VIN_SYS_5V0 10449mW/10197mW
09-23-2026 15:45:43 RAM 13034/30697MB (lfb 296x4MB) SWAP 414/15348MB (cached 0MB) CPU [40%@2201,36%@2201,1%@2201,2%@2201,1%@2201,1%@2201,1%@2201,1%@2201,0%@2201,0%@2201,0%@2201,1%@2201] GR3D_FREQ 87% cpu@69.875C soc2@65.843C soc0@66.593C gpu@69.562C tj@69.875C soc1@65.75C VDD_GPU_SOC 30818mW/32287mW VDD_CPU_CV 2629mW/2269mW VIN_SYS_5V0 10851mW/10198mW
09-23-2026 15:45:44 RAM 13035/30697MB (lfb 296x4MB) SWAP 414/15348MB (cached 0MB) CPU [50%@2201,1%@2201,0%@2201,22%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 38% cpu@70.062C soc2@65.531C soc0@66.406C gpu@67.875C tj@70.062C soc1@65.781C VDD_GPU_SOC 28964mW/32282mW VDD_CPU_CV 2632mW/2269mW VIN_SYS_5V0 10550mW/10199mW
09-23-2026 15:45:45 RAM 13036/30697MB (lfb 296x4MB) SWAP 414/15348MB (cached 0MB) CPU [1%@2201,0%@2201,1%@2201,75%@2201,0%@2201,0%@2201,1%@2201,1%@2201,1%@2201,0%@2201,1%@2201,0%@2201] GR3D_FREQ 26% cpu@69.968C soc2@65.281C soc0@66.187C gpu@67.281C tj@69.968C soc1@65.843C VDD_GPU_SOC 25977mW/32272mW VDD_CPU_CV 2634mW/2270mW VIN_SYS_5V0 10048mW/10198mW
09-23-2026 15:45:46 RAM 13037/30697MB (lfb 296x4MB) SWAP 414/15348MB (cached 0MB) CPU [2%@2201,1%@2201,1%@2201,72%@2201,1%@2201,0%@2201,1%@2201,1%@2201,1%@2201,1%@2201,1%@2201,1%@2201] GR3D_FREQ 94% cpu@69.937C soc2@65.5C soc0@66.343C gpu@69.093C tj@69.937C soc1@65.593C VDD_GPU_SOC 27835mW/32265mW VDD_CPU_CV 2633mW/2270mW VIN_SYS_5V0 10248mW/10198mW
09-23-2026 15:45:47 RAM 13038/30697MB (lfb 296x4MB) SWAP 414/15348MB (cached 0MB) CPU [0%@2201,0%@2201,2%@2201,72%@2201,1%@2201,2%@2201,0%@2201,1%@2201,1%@2201,0%@2201,1%@2201,0%@2201] GR3D_FREQ 93% cpu@70.125C soc2@65.593C soc0@66.562C gpu@68.968C tj@70.125C soc1@65.687C VDD_GPU_SOC 28964mW/32260mW VDD_CPU_CV 2632mW/2271mW VIN_SYS_5V0 10349mW/10199mW
09-23-2026 15:45:48 RAM 13038/30697MB (lfb 296x4MB) SWAP 414/15348MB (cached 0MB) CPU [1%@2201,1%@2201,0%@2201,73%@2201,1%@2201,0%@2201,1%@2201,1%@2201,1%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 88% cpu@69.906C soc2@65.656C soc0@66.562C gpu@69.375C tj@69.906C soc1@65.656C VDD_GPU_SOC 30818mW/32258mW VDD_CPU_CV 2629mW/2272mW VIN_SYS_5V0 10751mW/10199mW
09-23-2026 15:45:50 RAM 13039/30697MB (lfb 296x4MB) SWAP 414/15348MB (cached 0MB) CPU [2%@2201,0%@2201,1%@2201,73%@2201,0%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,1%@2201,1%@2201] GR3D_FREQ 50% cpu@70.406C soc2@65.625C soc0@66.562C gpu@68.062C tj@70C soc1@65.781C VDD_GPU_SOC 30080mW/32255mW VDD_CPU_CV 2630mW/2272mW VIN_SYS_5V0 10751mW/10200mW
09-23-2026 15:45:51 RAM 13040/30697MB (lfb 296x4MB) SWAP 414/15348MB (cached 0MB) CPU [0%@2201,48%@2201,3%@2201,28%@2201,1%@2201,1%@2201,1%@2201,1%@2201,0%@2201,0%@2201,0%@2201,1%@2201] GR3D_FREQ 47% cpu@70C soc2@65.5C soc0@66.281C gpu@66.812C tj@70C soc1@65.875C VDD_GPU_SOC 26718mW/32246mW VDD_CPU_CV 2633mW/2273mW VIN_SYS_5V0 10349mW/10201mW
09-23-2026 15:45:52 RAM 13040/30697MB (lfb 296x4MB) SWAP 414/15348MB (cached 0MB) CPU [1%@2201,73%@2201,1%@2201,0%@2201,1%@2201,1%@2201,1%@2201,1%@2201,1%@2201,0%@2201,1%@2201,1%@2201] GR3D_FREQ 93% cpu@70C soc2@65.531C soc0@66.437C gpu@68.531C tj@70C soc1@65.687C VDD_GPU_SOC 27471mW/32239mW VDD_CPU_CV 2633mW/2273mW VIN_SYS_5V0 10248mW/10201mW
09-23-2026 15:45:53 RAM 13041/30697MB (lfb 296x4MB) SWAP 414/15348MB (cached 0MB) CPU [0%@2201,73%@2201,0%@2201,0%@2201,1%@2201,1%@2201,0%@2201,1%@2201,1%@2201,1%@2201,0%@2201,0%@2201] GR3D_FREQ 93% cpu@70.25C soc2@65.656C soc0@66.5C gpu@68.875C tj@70.25C soc1@65.656C VDD_GPU_SOC 28964mW/32234mW VDD_CPU_CV 2632mW/2274mW VIN_SYS_5V0 10248mW/10201mW
09-23-2026 15:45:54 RAM 13042/30697MB (lfb 296x4MB) SWAP 414/15348MB (cached 0MB) CPU [1%@2201,10%@2201,1%@2201,0%@2201,1%@2201,1%@2201,1%@2201,1%@2201,48%@2201,17%@2201,2%@2201,1%@2201] GR3D_FREQ 88% cpu@69.75C soc2@65.656C soc0@66.468C gpu@69.343C tj@69.75C soc1@65.718C VDD_GPU_SOC 30080mW/32231mW VDD_CPU_CV 2630mW/2274mW VIN_SYS_5V0 10650mW/10201mW
09-23-2026 15:45:55 RAM 13042/30697MB (lfb 296x4MB) SWAP 414/15348MB (cached 0MB) CPU [0%@2201,1%@2201,0%@2201,0%@2201,3%@2201,1%@2201,1%@2201,1%@2201,9%@2201,59%@2201,6%@2201,0%@2201] GR3D_FREQ 52% cpu@70.156C soc2@65.562C soc0@66.562C gpu@68.343C tj@70.156C soc1@65.781C VDD_GPU_SOC 30443mW/32228mW VDD_CPU_CV 2630mW/2275mW VIN_SYS_5V0 10851mW/10202mW
09-23-2026 15:45:56 RAM 13042/30697MB (lfb 296x4MB) SWAP 414/15348MB (cached 0MB) CPU [1%@2201,1%@2201,0%@2201,1%@2201,1%@2201,1%@2201,0%@2201,1%@2201,1%@2201,46%@2201,30%@2201,1%@2201] GR3D_FREQ 38% cpu@69.812C soc2@65.312C soc0@66.25C gpu@67.093C tj@69.812C soc1@65.75C VDD_GPU_SOC 27471mW/32221mW VDD_CPU_CV 2633mW/2275mW VIN_SYS_5V0 10349mW/10203mW
09-23-2026 15:45:57 RAM 13042/30697MB (lfb 296x4MB) SWAP 414/15348MB (cached 0MB) CPU [1%@2201,0%@2201,1%@2201,0%@2201,1%@2201,0%@2201,1%@2201,1%@2201,1%@2201,72%@2201,1%@2201,0%@2201] GR3D_FREQ 95% cpu@69.843C soc2@65.5C soc0@66.437C gpu@68.531C tj@69.843C soc1@65.906C VDD_GPU_SOC 27471mW/32214mW VDD_CPU_CV 2633mW/2276mW VIN_SYS_5V0 10248mW/10203mW
09-23-2026 15:45:58 RAM 13044/30697MB (lfb 296x4MB) SWAP 414/15348MB (cached 0MB) CPU [2%@2201,1%@2201,1%@2201,0%@2201,1%@2201,3%@2201,0%@2201,1%@2201,1%@2201,38%@2201,37%@2201,1%@2201] GR3D_FREQ 95% cpu@69.968C soc2@65.5C soc0@66.437C gpu@68.812C tj@69.968C soc1@65.593C VDD_GPU_SOC 28588mW/32208mW VDD_CPU_CV 2632mW/2277mW VIN_SYS_5V0 10349mW/10203mW
09-23-2026 15:45:59 RAM 13044/30697MB (lfb 296x4MB) SWAP 414/15348MB (cached 0MB) CPU [2%@2201,1%@2201,1%@2201,1%@2201,3%@2201,1%@2201,1%@2201,0%@2201,7%@2201,1%@2201,66%@2201,0%@2201] GR3D_FREQ 88% cpu@69.812C soc2@65.656C soc0@66.406C gpu@69.281C tj@69.812C soc1@65.625C VDD_GPU_SOC 30080mW/32205mW VDD_CPU_CV 2630mW/2277mW VIN_SYS_5V0 10650mW/10204mW
09-23-2026 15:46:00 RAM 13044/30697MB (lfb 296x4MB) SWAP 414/15348MB (cached 0MB) CPU [1%@2201,0%@2201,0%@2201,0%@2201,1%@2201,0%@2201,0%@2201,0%@2201,43%@2201,1%@2201,31%@2201,0%@2201] GR3D_FREQ 88% cpu@69.906C soc2@65.781C soc0@66.593C gpu@69.625C tj@69.906C soc1@65.875C VDD_GPU_SOC 31181mW/32203mW VDD_CPU_CV 2629mW/2278mW VIN_SYS_5V0 11052mW/10205mW
09-23-2026 15:46:01 RAM 13045/30697MB (lfb 296x4MB) SWAP 414/15348MB (cached 0MB) CPU [1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,1%@2201,0%@2201,38%@2201,38%@2201,0%@2201,0%@2201] GR3D_FREQ 38% cpu@69.812C soc2@65.312C soc0@66.25C gpu@67.062C tj@69.812C soc1@65.656C VDD_GPU_SOC 28212mW/32197mW VDD_CPU_CV 2632mW/2278mW VIN_SYS_5V0 10449mW/10205mW
09-23-2026 15:46:02 RAM 13045/30697MB (lfb 296x4MB) SWAP 414/15348MB (cached 0MB) CPU [0%@2201,1%@2201,1%@2201,1%@2201,1%@2201,0%@2201,3%@2201,0%@2201,1%@2201,72%@2201,1%@2201,1%@2201] GR3D_FREQ 93% cpu@69.75C soc2@65.406C soc0@66.25C gpu@68.156C tj@69.75C soc1@65.75C VDD_GPU_SOC 26730mW/32189mW VDD_CPU_CV 2633mW/2279mW VIN_SYS_5V0 10148mW/10205mW
09-23-2026 15:46:03 RAM 13045/30697MB (lfb 296x4MB) SWAP 414/15348MB (cached 0MB) CPU [2%@2201,1%@2201,0%@2201,0%@2201,39%@2201,2%@2201,1%@2201,2%@2201,0%@2201,30%@2201,1%@2201,2%@2201] GR3D_FREQ 94% cpu@70.156C soc2@65.468C soc0@66.531C gpu@69.093C tj@70.156C soc1@65.906C VDD_GPU_SOC 28224mW/32183mW VDD_CPU_CV 2632mW/2279mW VIN_SYS_5V0 10248mW/10205mW
09-23-2026 15:46:04 RAM 13045/30697MB (lfb 296x4MB) SWAP 414/15348MB (cached 0MB) CPU [0%@2201,1%@2201,1%@2201,1%@2201,43%@2201,30%@2201,1%@2201,1%@2201,1%@2201,0%@2201,0%@2201,1%@2201] GR3D_FREQ 88% cpu@70.187C soc2@65.625C soc0@66.375C gpu@69.218C tj@70.187C soc1@65.593C VDD_GPU_SOC 29704mW/32179mW VDD_CPU_CV 2630mW/2280mW VIN_SYS_5V0 10449mW/10206mW
09-23-2026 15:46:05 RAM 13045/30697MB (lfb 296x4MB) SWAP 414/15348MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,69%@2201,1%@2201,2%@2201,0%@2201,0%@2201,2%@2201,0%@2201] GR3D_FREQ 87% cpu@70.437C soc2@65.656C soc0@66.5C gpu@69.468C tj@70.437C soc1@65.625C VDD_GPU_SOC 31194mW/32178mW VDD_CPU_CV 2629mW/2280mW VIN_SYS_5V0 10851mW/10207mW
09-23-2026 15:46:06 RAM 13044/30697MB (lfb 296x4MB) SWAP 414/15348MB (cached 0MB) CPU [1%@2201,0%@2201,0%@2201,1%@2201,0%@2201,74%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,1%@2201] GR3D_FREQ 38% cpu@70.187C soc2@65.468C soc0@66.312C gpu@67.531C tj@70.187C soc1@65.656C VDD_GPU_SOC 28588mW/32172mW VDD_CPU_CV 2632mW/2281mW VIN_SYS_5V0 10550mW/10207mW
09-23-2026 15:46:07 RAM 13044/30697MB (lfb 296x4MB) SWAP 414/15348MB (cached 0MB) CPU [0%@2201,0%@2201,1%@2201,1%@2201,1%@2201,5%@2201,0%@2201,71%@2201,0%@2201,1%@2201,1%@2201,1%@2201] GR3D_FREQ 91% cpu@70C soc2@65.343C soc0@66.187C gpu@67.781C tj@70C soc1@65.75C VDD_GPU_SOC 26718mW/32164mW VDD_CPU_CV 2633mW/2281mW VIN_SYS_5V0 10048mW/10207mW
09-23-2026 15:46:08 RAM 13044/30697MB (lfb 296x4MB) SWAP 414/15348MB (cached 0MB) CPU [0%@2201,0%@2201,1%@2201,1%@2201,2%@2201,8%@2201,54%@2201,11%@2201,2%@2201,1%@2201,0%@2201,3%@2201] GR3D_FREQ 95% cpu@69.937C soc2@65.593C soc0@66.562C gpu@68.843C tj@69.937C soc1@65.75C VDD_GPU_SOC 28212mW/32158mW VDD_CPU_CV 2633mW/2282mW VIN_SYS_5V0 10349mW/10207mW
09-23-2026 15:46:09 RAM 13042/30697MB (lfb 296x4MB) SWAP 414/15348MB (cached 0MB) CPU [0%@2201,1%@2201,1%@2201,0%@2201,1%@2201,0%@2201,56%@2201,18%@2201,1%@2201,1%@2201,1%@2201,1%@2201] GR3D_FREQ 87% cpu@70.031C soc2@65.562C soc0@66.625C gpu@69.031C tj@70.031C soc1@65.843C VDD_GPU_SOC 29328mW/32154mW VDD_CPU_CV 2630mW/2282mW VIN_SYS_5V0 10550mW/10208mW
09-23-2026 15:46:10 RAM 13042/30697MB (lfb 296x4MB) SWAP 414/15348MB (cached 0MB) CPU [1%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,73%@2201,0%@2201,0%@2201,0%@2201,0%@2201,1%@2201] GR3D_FREQ 88% cpu@70.312C soc2@65.625C soc0@66.437C gpu@69.343C tj@70.312C soc1@65.5C VDD_GPU_SOC 30818mW/32152mW VDD_CPU_CV 2629mW/2283mW VIN_SYS_5V0 10851mW/10208mW
09-23-2026 15:46:11 RAM 13042/30697MB (lfb 296x4MB) SWAP 414/15348MB (cached 0MB) CPU [0%@2201,1%@2201,1%@2201,1%@2201,1%@2201,0%@2201,31%@2201,44%@2201,1%@2201,1%@2201,0%@2201,2%@2201] GR3D_FREQ 37% cpu@70.218C soc2@65.375C soc0@66.25C gpu@67.375C tj@70.218C soc1@65.687C VDD_GPU_SOC 28964mW/32148mW VDD_CPU_CV 2632mW/2283mW VIN_SYS_5V0 10550mW/10209mW
09-23-2026 15:46:12 RAM 13039/30697MB (lfb 296x4MB) SWAP 414/15348MB (cached 0MB) CPU [1%@2201,1%@2201,1%@2201,0%@2201,1%@2201,1%@2201,0%@2201,74%@2201,2%@2201,0%@2201,1%@2201,0%@2201] GR3D_FREQ 4% cpu@70C soc2@65.187C soc0@66.062C gpu@67.093C tj@70C soc1@65.625C VDD_GPU_SOC 25977mW/32138mW VDD_CPU_CV 2634mW/2284mW VIN_SYS_5V0 10148mW/10209mW
09-23-2026 15:46:13 RAM 13039/30697MB (lfb 296x4MB) SWAP 414/15348MB (cached 0MB) CPU [40%@2201,1%@2201,1%@2201,1%@2201,1%@2201,1%@2201,0%@2201,32%@2201,1%@2201,1%@2201,0%@2201,0%@2201] GR3D_FREQ 94% cpu@69.687C soc2@65.625C soc0@66.312C gpu@68.531C tj@69.687C soc1@65.656C VDD_GPU_SOC 27095mW/32131mW VDD_CPU_CV 2633mW/2284mW VIN_SYS_5V0 10048mW/10209mW
09-23-2026 15:46:14 RAM 13038/30697MB (lfb 296x4MB) SWAP 414/15348MB (cached 0MB) CPU [16%@2201,56%@2201,2%@2201,0%@2201,1%@2201,1%@2201,0%@2201,0%@2201,0%@2201,1%@2201,1%@2201,0%@2201] GR3D_FREQ 94% cpu@69.937C soc2@65.656C soc0@66.468C gpu@68.937C tj@69.937C soc1@65.812C VDD_GPU_SOC 28952mW/32126mW VDD_CPU_CV 2632mW/2285mW VIN_SYS_5V0 10248mW/10209mW
09-23-2026 15:46:15 RAM 13038/30697MB (lfb 296x4MB) SWAP 414/15348MB (cached 0MB) CPU [42%@2201,32%@2201,1%@2201,2%@2201,0%@2201,2%@2201,1%@2201,0%@2201,1%@2201,0%@2201,0%@2201,1%@2201] GR3D_FREQ 87% cpu@69.812C soc2@65.718C soc0@66.406C gpu@69.218C tj@70.093C soc1@65.593C VDD_GPU_SOC 30080mW/32123mW VDD_CPU_CV 2630mW/2285mW VIN_SYS_5V0 10650mW/10209mW
09-23-2026 15:46:16 RAM 13038/30697MB (lfb 296x4MB) SWAP 414/15348MB (cached 0MB) CPU [73%@2201,1%@2201,1%@2201,2%@2201,2%@2201,1%@2201,1%@2201,1%@2201,1%@2201,0%@2201,1%@2201,0%@2201] GR3D_FREQ 91% cpu@70C soc2@65.812C soc0@66.375C gpu@68.562C tj@70C soc1@65.562C VDD_GPU_SOC 30818mW/32121mW VDD_CPU_CV 2629mW/2286mW VIN_SYS_5V0 10851mW/10210mW
09-23-2026 15:46:17 RAM 13038/30697MB (lfb 296x4MB) SWAP 414/15348MB (cached 0MB) CPU [50%@2201,2%@2201,25%@2201,0%@2201,2%@2201,2%@2201,1%@2201,2%@2201,1%@2201,1%@2201,0%@2201,0%@2201] GR3D_FREQ 36% cpu@69.718C soc2@65.312C soc0@66.218C gpu@67.218C tj@69.718C soc1@65.625C VDD_GPU_SOC 27835mW/32115mW VDD_CPU_CV 2633mW/2286mW VIN_SYS_5V0 10349mW/10211mW
09-23-2026 15:46:18 RAM 13037/30697MB (lfb 295x4MB) SWAP 414/15348MB (cached 0MB) CPU [32%@2201,1%@2201,37%@2201,8%@2201,1%@2201,1%@2201,2%@2201,1%@2201,1%@2201,0%@2201,1%@2201,1%@2201] GR3D_FREQ 92% cpu@69.75C soc2@65.5C soc0@66.281C gpu@68.593C tj@69.75C soc1@65.656C VDD_GPU_SOC 27095mW/32108mW VDD_CPU_CV 2633mW/2287mW VIN_SYS_5V0 10148mW/10210mW
09-23-2026 15:46:19 RAM 13039/30697MB (lfb 295x4MB) SWAP 414/15348MB (cached 0MB) CPU [1%@2201,0%@2201,1%@2201,71%@2201,0%@2201,1%@2201,1%@2201,2%@2201,2%@2201,0%@2201,1%@2201,0%@2201] GR3D_FREQ 94% cpu@69.812C soc2@65.625C soc0@66.468C gpu@69.281C tj@69.812C soc1@65.718C VDD_GPU_SOC 28588mW/32102mW VDD_CPU_CV 2632mW/2287mW VIN_SYS_5V0 10248mW/10210mW
09-23-2026 15:46:20 RAM 13041/30697MB (lfb 295x4MB) SWAP 414/15348MB (cached 0MB) CPU [1%@2201,2%@2201,1%@2201,72%@2201,1%@2201,1%@2201,0%@2201,3%@2201,1%@2201,1%@2201,2%@2201,1%@2201] GR3D_FREQ 87% cpu@69.75C soc2@65.468C soc0@66.562C gpu@69.093C tj@69.75C soc1@65.5C VDD_GPU_SOC 29704mW/32099mW VDD_CPU_CV 2630mW/2288mW VIN_SYS_5V0 10550mW/10211mW
09-23-2026 15:46:21 RAM 13040/30697MB (lfb 295x4MB) SWAP 414/15348MB (cached 0MB) CPU [2%@2201,1%@2201,1%@2201,72%@2201,0%@2201,2%@2201,1%@2201,0%@2201,1%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 87% cpu@69.937C soc2@65.625C soc0@66.406C gpu@69.125C tj@69.937C soc1@65.562C VDD_GPU_SOC 31194mW/32098mW VDD_CPU_CV 2629mW/2288mW VIN_SYS_5V0 10952mW/10212mW
09-23-2026 15:46:22 RAM 13041/30697MB (lfb 295x4MB) SWAP 414/15348MB (cached 0MB) CPU [1%@2201,1%@2201,1%@2201,75%@2201,1%@2201,1%@2201,0%@2201,1%@2201,0%@2201,0%@2201,1%@2201,0%@2201] GR3D_FREQ 38% cpu@70.312C soc2@65.281C soc0@66.125C gpu@66.875C tj@70.312C soc1@65.593C VDD_GPU_SOC 27835mW/32091mW VDD_CPU_CV 2632mW/2289mW VIN_SYS_5V0 10449mW/10212mW
09-23-2026 15:46:23 RAM 13042/30697MB (lfb 295x4MB) SWAP 414/15348MB (cached 0MB) CPU [1%@2201,2%@2201,1%@2201,69%@2201,1%@2201,5%@2201,2%@2201,0%@2201,2%@2201,2%@2201,2%@2201,1%@2201] GR3D_FREQ 23% cpu@70C soc2@65.312C soc0@66.031C gpu@67.656C tj@70C soc1@65.5C VDD_GPU_SOC 26353mW/32083mW VDD_CPU_CV 2633mW/2289mW VIN_SYS_5V0 10148mW/10212mW
09-23-2026 15:46:24 RAM 13042/30697MB (lfb 295x4MB) SWAP 414/15348MB (cached 0MB) CPU [0%@2201,1%@2201,1%@2201,0%@2201,65%@2201,3%@2201,2%@2201,5%@2201,1%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 94% cpu@70.031C soc2@65.531C soc0@66.343C gpu@68.781C tj@70.031C soc1@65.593C VDD_GPU_SOC 28212mW/32077mW VDD_CPU_CV 2632mW/2290mW VIN_SYS_5V0 10248mW/10212mW
09-23-2026 15:46:25 RAM 13043/30697MB (lfb 295x4MB) SWAP 414/15348MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,1%@2201,34%@2201,1%@2201,1%@2201,40%@2201,1%@2201,1%@2201,0%@2201,1%@2201] GR3D_FREQ 88% cpu@69.968C soc2@65.562C soc0@66.531C gpu@68.937C tj@69.968C soc1@65.656C VDD_GPU_SOC 29704mW/32074mW VDD_CPU_CV 2630mW/2290mW VIN_SYS_5V0 10449mW/10213mW
09-23-2026 15:46:26 RAM 13043/30697MB (lfb 295x4MB) SWAP 414/15348MB (cached 0MB) CPU [1%@2201,2%@2201,1%@2201,1%@2201,0%@2201,1%@2201,1%@2201,74%@2201,1%@2201,0%@2201,1%@2201,0%@2201] GR3D_FREQ 87% cpu@70C soc2@65.5C soc0@66.375C gpu@69.156C tj@70C soc1@65.531C VDD_GPU_SOC 31194mW/32073mW VDD_CPU_CV 2629mW/2291mW VIN_SYS_5V0 10851mW/10214mW
09-23-2026 15:46:27 RAM 13044/30697MB (lfb 295x4MB) SWAP 414/15348MB (cached 0MB) CPU [0%@2201,2%@2201,0%@2201,0%@2201,1%@2201,2%@2201,1%@2201,76%@2201,0%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 38% cpu@70.375C soc2@65.25C soc0@66.093C gpu@67.218C tj@70.375C soc1@65.5C VDD_GPU_SOC 28212mW/32067mW VDD_CPU_CV 2632mW/2291mW VIN_SYS_5V0 10550mW/10214mW
09-23-2026 15:46:28 RAM 13044/30697MB (lfb 295x4MB) SWAP 414/15348MB (cached 0MB) CPU [2%@2201,1%@2201,0%@2201,1%@2201,1%@2201,2%@2201,2%@2201,73%@2201,1%@2201,0%@2201,1%@2201,1%@2201] GR3D_FREQ 89% cpu@70.125C soc2@65.218C soc0@66.031C gpu@67.781C tj@70.125C soc1@65.5C VDD_GPU_SOC 26718mW/32059mW VDD_CPU_CV 2634mW/2292mW VIN_SYS_5V0 10148mW/10214mW
09-23-2026 15:46:29 RAM 13044/30697MB (lfb 295x4MB) SWAP 414/15348MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,2%@2201,34%@2201,2%@2201,1%@2201,40%@2201,1%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 93% cpu@70.062C soc2@65.5C soc0@66.343C gpu@68.718C tj@70.062C soc1@65.562C VDD_GPU_SOC 28212mW/32054mW VDD_CPU_CV 2632mW/2292mW VIN_SYS_5V0 10248mW/10214mW
09-23-2026 15:46:30 RAM 13044/30697MB (lfb 295x4MB) SWAP 414/15348MB (cached 0MB) CPU [0%@2201,0%@2201,1%@2201,0%@2201,72%@2201,0%@2201,1%@2201,0%@2201,0%@2201,1%@2201,1%@2201,0%@2201] GR3D_FREQ 88% cpu@70.375C soc2@65.593C soc0@66.406C gpu@68.843C tj@70.375C soc1@65.593C VDD_GPU_SOC 29328mW/32050mW VDD_CPU_CV 2630mW/2293mW VIN_SYS_5V0 10550mW/10215mW
09-23-2026 15:46:31 RAM 13044/30697MB (lfb 295x4MB) SWAP 414/15348MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,74%@2201,1%@2201,2%@2201,0%@2201,0%@2201,1%@2201,0%@2201,0%@2201] GR3D_FREQ 88% cpu@70.562C soc2@65.593C soc0@66.531C gpu@69.156C tj@70.562C soc1@65.531C VDD_GPU_SOC 30818mW/32048mW VDD_CPU_CV 2629mW/2293mW VIN_SYS_5V0 10851mW/10215mW
09-23-2026 15:46:32 RAM 13043/30697MB (lfb 295x4MB) SWAP 414/15348MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,75%@2201,0%@2201,0%@2201,0%@2201,0%@2201,1%@2201,0%@2201,0%@2201] GR3D_FREQ 38% cpu@70.718C soc2@65.281C soc0@66.312C gpu@67.218C tj@70.718C soc1@65.5C VDD_GPU_SOC 28212mW/32042mW VDD_CPU_CV 2632mW/2294mW VIN_SYS_5V0 10449mW/10216mW
09-23-2026 15:46:33 RAM 13043/30697MB (lfb 295x4MB) SWAP 414/15348MB (cached 0MB) CPU [1%@2201,2%@2201,1%@2201,1%@2201,26%@2201,1%@2201,2%@2201,49%@2201,1%@2201,1%@2201,1%@2201,1%@2201] GR3D_FREQ 15% cpu@70.031C soc2@65.062C soc0@66C gpu@67.75C tj@70.031C soc1@65.531C VDD_GPU_SOC 26353mW/32034mW VDD_CPU_CV 2634mW/2294mW VIN_SYS_5V0 10148mW/10216mW
09-23-2026 15:46:34 RAM 13043/30697MB (lfb 295x4MB) SWAP 414/15348MB (cached 0MB) CPU [1%@2201,1%@2201,1%@2201,1%@2201,2%@2201,0%@2201,1%@2201,72%@2201,0%@2201,0%@2201,1%@2201,0%@2201] GR3D_FREQ 94% cpu@69.843C soc2@65.406C soc0@66.156C gpu@68.875C tj@69.843C soc1@65.593C VDD_GPU_SOC 28212mW/32029mW VDD_CPU_CV 2632mW/2295mW VIN_SYS_5V0 10248mW/10216mW
09-23-2026 15:46:35 RAM 13043/30697MB (lfb 295x4MB) SWAP 414/15348MB (cached 0MB) CPU [0%@2201,1%@2201,0%@2201,0%@2201,37%@2201,1%@2201,2%@2201,36%@2201,1%@2201,0%@2201,1%@2201,0%@2201] GR3D_FREQ 83% cpu@70.343C soc2@65.5C soc0@66.343C gpu@69.218C tj@70.343C soc1@65.5C VDD_GPU_SOC 29328mW/32025mW VDD_CPU_CV 2630mW/2295mW VIN_SYS_5V0 10349mW/10216mW
09-23-2026 15:46:36 RAM 13043/30697MB (lfb 295x4MB) SWAP 414/15348MB (cached 0MB) CPU [1%@2201,0%@2201,0%@2201,1%@2201,73%@2201,0%@2201,1%@2201,0%@2201,1%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 88% cpu@70.406C soc2@65.656C soc0@66.406C gpu@69.406C tj@70.406C soc1@65.562C VDD_GPU_SOC 30443mW/32023mW VDD_CPU_CV 2629mW/2296mW VIN_SYS_5V0 10751mW/10217mW
